Team name,Player name,Number,Position,Url,Mugshot
Ginebra San Miguel,Louis Raphael Cu,18,F/G,https://www.pba.ph/players/louis-raphael-cu,https://dashboard.pba.ph/assets/players/Cu.png
North Port,Damie Cuntapay,37,C/F,https://www.pba.ph/players/damie-cuntapay,https://dashboard.pba.ph/assets/players/24Cuntapay.png
Meralco,Diego Miguel Dario,5,G,https://www.pba.ph/players/diego-miguel-dario,https://dashboard.pba.ph/assets/players/Dario23.png
Phoenix,Matthew Daves,12,C/F,https://www.pba.ph/players/matthew-daves,https://dashboard.pba.ph/assets/players/Daves23.png
Blackwater,Christian David,25,C/F,https://www.pba.ph/players/christian-david,https://dashboard.pba.ph/assets/players/noimage.png
Ginebra San Miguel,Jayson David,24,G,https://www.pba.ph/players/jayson-david,https://dashboard.pba.ph/assets/players/J_David.png
Converge,John Louisse (JL) De Los Santos,24,Forward,https://www.pba.ph/players/john-louisse-jl-de-los-santos,https://dashboard.pba.ph/assets/players/Delos_Santos13.png
Magnolia,Rome dela Rosa,19,G,https://www.pba.ph/players/rome-dela-rosa,https://dashboard.pba.ph/assets/players/Dela_Rosa23.png
Converge,John Louisee Delos Santos,24,F,https://www.pba.ph/players/john-louisee-delos-santos,http://se-img.dcd-production.i.geniussports.com/c5b2b8244a50c4c5515e70a396b2553eT1.png
Rain or Shine,Nick Demusis,31,F/G,https://www.pba.ph/players/nick-demusis,https://dashboard.pba.ph/assets/players/Demusis23.png
Blackwater,Michael Digregorio,3,G,https://www.pba.ph/players/michael-digregorio,https://dashboard.pba.ph/assets/players/HinDiGregorio.png
Ginebra San Miguel,Jared Dillinger,2,F,https://www.pba.ph/players/jared-dillinger,https://dashboard.pba.ph/assets/players/Dillinger_(1).png
Magnolia,Aristotle Dionisio,57,C/F,https://www.pba.ph/players/aristotle-dionisio,https://dashboard.pba.ph/assets/players/Dionisio23.png
Talk N Text,Kevin Barkley Ebona,8,C,https://www.pba.ph/players/kevin-barkley-ebona,https://dashboard.pba.ph/assets/players/24Ebona.png
San Miguel,Simon Nicholas Enciso,0,G,https://www.pba.ph/players/simon-nicholas-enciso,https://dashboard.pba.ph/assets/players/Enciso23.png
Magnolia,Joseph Eriobu,88,F,https://www.pba.ph/players/joseph-eriobu,https://dashboard.pba.ph/assets/players/Eriobu23.png
Magnolia,Russel Escoto,88,C,https://www.pba.ph/players/russel-escoto,https://dashboard.pba.ph/assets/players/Escoto23.png
Blackwater,Richard Escoto,23,F/G,https://www.pba.ph/players/richard-escoto,https://dashboard.pba.ph/assets/players/RaselEscoto.png
NLEX,Dominic Fajardo,19,F/G,https://www.pba.ph/players/dominic-fajardo,https://dashboard.pba.ph/assets/players/D_Fajard23o.png
San Miguel,June Mar Fajardo,15,C,https://www.pba.ph/players/june-mar-fajardo,https://dashboard.pba.ph/assets/players/Fajardo23.png
